"file_name","merge_rate","num_nodes","duration","eager_rate"
1,1,2,300,1
2,1,3,300,1
3,1,4,300,1
4,1,5,300,1
5,1,10,300,1
6,1,15,300,1
7,1,20,300,1
8,3,2,300,1
9,3,3,300,1
10,3,4,300,1
11,3,5,300,1
12,3,10,300,1
13,3,15,300,1
14,3,20,300,1
15,10,2,300,1
16,10,3,300,1
17,10,4,300,1
18,10,5,300,1
19,10,10,300,1
20,10,15,300,1
21,10,20,300,1
22,30,2,300,1
23,30,3,300,1
24,30,4,300,1
25,30,5,300,1
26,30,10,300,1
27,30,15,300,1
28,30,20,300,1
29,60,2,300,1
30,60,3,300,1
31,60,4,300,1
32,60,5,300,1
33,60,10,300,1
34,60,15,300,1
35,60,20,300,1
36,1,2,300,3
37,1,3,300,3
38,1,4,300,3
39,1,5,300,3
40,1,10,300,3
41,1,15,300,3
42,1,20,300,3
43,3,2,300,3
44,3,3,300,3
45,3,4,300,3
46,3,5,300,3
47,3,10,300,3
48,3,15,300,3
49,3,20,300,3
50,10,2,300,3
51,10,3,300,3
52,10,4,300,3
53,10,5,300,3
54,10,10,300,3
55,10,15,300,3
56,10,20,300,3
57,30,2,300,3
58,30,3,300,3
59,30,4,300,3
60,30,5,300,3
61,30,10,300,3
62,30,15,300,3
63,30,20,300,3
64,60,2,300,3
65,60,3,300,3
66,60,4,300,3
67,60,5,300,3
68,60,10,300,3
69,60,15,300,3
70,60,20,300,3
71,1,2,300,10
72,1,3,300,10
73,1,4,300,10
74,1,5,300,10
75,1,10,300,10
76,1,15,300,10
77,1,20,300,10
78,3,2,300,10
79,3,3,300,10
80,3,4,300,10
81,3,5,300,10
82,3,10,300,10
83,3,15,300,10
84,3,20,300,10
85,10,2,300,10
86,10,3,300,10
87,10,4,300,10
88,10,5,300,10
89,10,10,300,10
90,10,15,300,10
91,10,20,300,10
92,30,2,300,10
93,30,3,300,10
94,30,4,300,10
95,30,5,300,10
96,30,10,300,10
97,30,15,300,10
98,30,20,300,10
99,60,2,300,10
100,60,3,300,10
101,60,4,300,10
102,60,5,300,10
103,60,10,300,10
104,60,15,300,10
105,60,20,300,10
106,1,2,300,15
107,1,3,300,15
108,1,4,300,15
109,1,5,300,15
110,1,10,300,15
111,1,15,300,15
112,1,20,300,15
113,3,2,300,15
114,3,3,300,15
115,3,4,300,15
116,3,5,300,15
117,3,10,300,15
118,3,15,300,15
119,3,20,300,15
120,10,2,300,15
121,10,3,300,15
122,10,4,300,15
123,10,5,300,15
124,10,10,300,15
125,10,15,300,15
126,10,20,300,15
127,30,2,300,15
128,30,3,300,15
129,30,4,300,15
130,30,5,300,15
131,30,10,300,15
132,30,15,300,15
133,30,20,300,15
134,60,2,300,15
135,60,3,300,15
136,60,4,300,15
137,60,5,300,15
138,60,10,300,15
139,60,15,300,15
140,60,20,300,15
141,1,2,300,20
142,1,3,300,20
143,1,4,300,20
144,1,5,300,20
145,1,10,300,20
146,1,15,300,20
147,1,20,300,20
148,3,2,300,20
149,3,3,300,20
150,3,4,300,20
151,3,5,300,20
152,3,10,300,20
153,3,15,300,20
154,3,20,300,20
155,10,2,300,20
156,10,3,300,20
157,10,4,300,20
158,10,5,300,20
159,10,10,300,20
160,10,15,300,20
161,10,20,300,20
162,30,2,300,20
163,30,3,300,20
164,30,4,300,20
165,30,5,300,20
166,30,10,300,20
167,30,15,300,20
168,30,20,300,20
169,60,2,300,20
170,60,3,300,20
171,60,4,300,20
172,60,5,300,20
173,60,10,300,20
174,60,15,300,20
175,60,20,300,20
176,1,5,3600,1
177,3,5,300,999999999
178,10,5,300,999999999
179,30,5,300,999999999
180,60,5,300,999999999
181,1,2,300,-1
182,1,3,300,-1
183,1,4,300,-1
184,1,5,300,-1
185,1,10,300,-1
186,1,15,300,-1
187,1,20,300,-1
188,3,2,300,-1
189,3,3,300,-1
190,3,4,300,-1
191,3,5,300,-1
192,3,10,300,-1
193,3,15,300,-1
194,3,20,300,-1
195,10,2,300,-1
196,10,3,300,-1
197,10,4,300,-1
198,10,5,300,-1
199,10,10,300,-1
210,10,15,300,-1
211,10,20,300,-1
212,30,2,300,-1
213,30,3,300,-1
214,30,4,300,-1
215,30,5,300,-1
216,30,10,300,-1
217,30,15,300,-1
218,30,20,300,-1
219,60,2,300,-1
220,60,3,300,-1
221,60,4,300,-1
222,60,5,300,-1
223,60,10,300,-1
224,60,15,300,-1
225,60,20,300,-1
226,1,5,300,999999999
