"node_id","duration","items"
8,3,3
8,6,8
8,7,10
8,18,22
8,21,33
8,34,50
8,38,69
8,41,77
8,46,248
8,47,255
8,51,273
8,51,283
8,54,270
8,83,286
8,86,653
8,90,711
8,91,696
8,97,674
8,100,798
8,101,873
8,105,888
8,111,904
8,114,876
8,116,886
8,117,1010
8,123,1106
8,126,1103
8,127,1118
8,128,1211
8,130,1240
8,133,1239
8,135,1226
8,137,1213
8,139,1219
8,150,1338
8,153,1321
8,155,1302
8,160,1314
8,163,1396
8,167,1530
8,167,1520
8,170,1520
8,171,1534
8,172,1648
8,173,1657
8,177,1615
8,177,1618
8,177,1604
8,185,1576
8,185,1563
8,187,1533
8,195,1490
8,198,1466
8,198,1524
8,203,1530
8,206,1529
8,207,1720
8,209,1721
8,212,1741
8,215,1737
8,218,1757
8,223,1706
8,224,1733
8,227,1699
8,230,1685
8,230,1801
8,232,1927
8,237,1916
8,243,1911
8,247,1905
8,247,2022
8,249,2051
8,255,2089
8,258,2081
8,267,2150
8,268,2104
8,269,2074
8,269,2060
8,272,2062
8,276,2063
8,281,2064
8,284,2068
8,285,2233
8,286,2277
8,289,2293
8,290,2307
8,291,2267
8,292,2282
8,296,2308
8,302,2363
8,307,2286
8,311,2296
8,312,2278
8,314,2276
8,316,2302
8,317,2268
8,318,2250
8,319,2213
8,322,2199
8,336,2172
8,336,2182
8,340,2166
8,342,2155
8,346,2155
8,349,2146
8,355,2125
8,360,2061
9,12,15
9,23,31
9,35,38
9,38,137
9,40,207
9,41,222
9,44,216
9,49,291
9,50,318
9,54,333
9,59,350
9,60,358
9,63,434
9,64,520
9,67,571
9,73,557
9,77,537
9,80,549
9,80,588
9,87,602
9,87,611
9,89,618
9,92,620
9,93,603
9,97,825
9,99,845
9,102,840
9,108,916
9,110,1009
9,111,1021
9,114,1001
9,114,1029
9,130,1017
9,136,976
9,145,1006
9,146,1162
9,148,1238
9,158,1237
9,160,1245
9,164,1435
9,165,1412
9,166,1404
9,168,1453
9,170,1435
9,174,1431
9,174,1645
9,175,1628
9,182,1612
9,184,1586
9,187,1577
9,188,1579
9,189,1562
9,190,1541
9,191,1539
9,194,1544
9,197,1549
9,198,1548
9,201,1690
9,206,1693
9,206,1700
9,209,1718
9,212,1738
9,213,1759
9,215,1720
9,217,1809
9,218,1761
9,220,1717
9,223,1719
9,247,1749
9,249,1765
9,253,1772
9,254,1963
9,257,1953
9,264,2245
9,267,2246
9,270,2236
9,278,2248
9,280,2242
9,284,2250
9,285,2265
9,286,2303
9,301,2286
9,305,2506
9,308,2551
9,310,2541
9,328,2469
9,335,2431
9,337,2534
9,337,2493
9,339,2484
9,343,2484
9,347,2453
9,352,2432
9,352,2394
9,354,2387
9,357,2387
1,3,3
1,10,10
1,15,17
1,25,52
1,27,67
1,33,94
1,34,175
1,35,178
1,37,229
1,39,269
1,44,265
1,56,279
1,57,297
1,67,319
1,70,342
1,73,545
1,73,595
1,79,588
1,79,602
1,79,594
1,83,744
1,90,753
1,93,728
1,93,817
1,93,816
1,106,972
1,115,974
1,119,994
1,120,985
1,120,1127
1,124,1189
1,126,1166
1,129,1139
1,140,1163
1,142,1150
1,143,1176
1,150,1200
1,151,1178
1,155,1193
1,161,1174
1,161,1167
1,165,1206
1,165,1333
1,170,1338
1,171,1320
1,180,1646
1,182,1649
1,183,1626
1,186,1609
1,192,1593
1,193,1757
1,195,1791
1,214,1753
1,216,1795
1,222,1923
1,225,2003
1,227,1944
1,227,2001
1,230,1997
1,237,1998
1,240,2024
1,244,2047
1,249,2026
